Ticker,2016,2017,2018,2019
PEP,7.506984892791994,16.397164030791885,-4.932552185293762,24.19726186158468
PFE,4.329770764979842,14.757298445351447,22.169376631750094,-7.158116739335779
PG,8.945853196654586,11.949765876404479,3.5076375054908544,33.43306246661118
PM,9.274265240257016,18.105812357571864,-40.4906796465669,30.026240324034905
PYPL,8.648176855441953,62.337585369021646,13.297083757605233,25.181643887605976
QCOM,30.077624530107137,2.0257512527924915,-7.892187428163084,47.47679080531897
RTX,15.820161155884609,17.505673707159996,-15.849628258501719,36.63398174824198
SBUX,-6.324752485955984,5.221794730831017,13.746420171660606,32.99168886205628
SLB,21.128685802899106,-19.078696499452963,-59.165466101452324,16.32120916838937
SO,9.457448688337822,2.3871266448025104,-3.824128664640422,41.64236671107855
SPG,-5.656808375188718,0.9773214990814763,2.5210757110998254,-6.980909161329966
